"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"BQL","Đầu tư tại Việt nam","1.009742.000.00.00.H34","Thủ tục chấp thuận chủ trương đầu tư của Ủy ban nhân dân cấp tỉnh đối với dự án đầu tư xây dựng và kinh doanh sân gôn","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009748.000.00.00.H34","Thủ tục chấp thuận chủ trương đầu tư của Ban Quản lý quy định tại khoản 7 Điều 33 Nghị định số 31/2021/NĐ-CP","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","BQL Khu kinh tế tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009755.000.00.00.H34","Thủ tục chấp thuận nhà đầu tư đối với dự án đầu tư thực hiện tại khu kinh tế quy định tại khoản 4 Điều 30 của Nghị định số 31/2021/NĐ-CP","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","BQL Khu kinh tế tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009756.000.00.00.H34","Thủ tục cấp Giấy chứng nhận đăng ký đầu tư đối với dự án không thuộc diện chấp thuận chủ trương đầu tư (BQL)","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","BQL Khu kinh tế tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009757.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của Ủy ban nhân dân cấp tỉnh (BQL)","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009759.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","BQL Khu kinh tế tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009760.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp dự án đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận điều chỉnh chủ trương đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","BQL Khu kinh tế tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009762.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp nhà đầu tư chuyển nhượng một phần hoặc toàn bộ dự án đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009763.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp nhà đầu tư nhận chuyển nhượng dự án đầu tư là tài sản bảo đảm đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009764.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp chia, tách, sáp nhập dự án đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009765.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp chia, tách, hợp nhất, sáp nhập, chuyển đổi loại hình tổ chức kinh tế đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009766.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp sử dụng quyền sử dụng đất, tài sản gắn liền với đất thuộc dự án đầu tư để góp vốn vào doanh nghiệp đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
"BQL","Đầu tư tại Việt nam","1.009767.000.00.00.H34","Thủ tục điều chỉnh dự án đầu tư trong trường hợp sử dụng quyền sử dụng đất, tài sản gắn liền với đất thuộc dự án đầu tư để hợp tác kinh doanh đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý","Không","Quyết định số 291/QĐ-UBND ngày 08/6/2021","Quyết định số 365/QĐ-UBND ngày 15/7/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 337/QĐ-UBND ngày 29/6/2021","Mức độ 4",""
