"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"KHĐT","Đấu thầu","2.002283.000.00.00.H34","Danh mục dự án đầu tư có sử dụng đất do nhà đầu tư đề xuất (đối với dự án không thuộc diện chấp thuận chủ trương đầu tư)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002335.000.00.00.H34","Lập, thẩm định, quyết định phê duyệt khoản viện trợ phi dự án sử dụng viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức của các cơ quan, tổ chức, cá nhân nước ngoài thuộc thẩm quyền quyết định của Ủy ban nhân dân cấp tỉnh","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002334.000.00.00.H34","Lập, thẩm định, quyết định phê duyệt khoản viện trợ là chương trình, dự án đầu tư sử dụng viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức của các cơ quan, tổ chức, cá nhân nước ngoài thuộc thẩm quyền quyết định của Ủy ban nhân dân cấp tỉnh","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002333.000.00.00.H34","Lập, thẩm định, quyết định phê duyệt khoản viện trợ là chương trình, dự án hỗ trợ kỹ thuật sử dụng viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức của các cơ quan, tổ chức, cá nhân nước ngoài thuộc thẩm quyền quyết định của Ủy ban nhân dân cấp tỉnh","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002058.000.00.00.H34","Xác nhận chuyên gia","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.000045.000.00.00.H34","Lập, thẩm định, quyết định phê duyệt văn kiện dự án hỗ trợ kỹ thuật, phi dự án sử dụng vốn ODA không hoàn lại (Cấp tỉnh)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.001932.000.00.00.H34","Lập, thẩm định, quyết định đầu tư chương trình, dự án đầu tư thuộc thẩm quyền của người đứng đầu cơ quan chủ quản (cấp tỉnh)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","1.008423.000.00.00.H34","Quyết định chủ trương đầu tư chương trình, dự án thuộc thẩm quyền của người đứng đầu cơ quan chủ quản (cấp tỉnh)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002050.000.00.00.H34","Lập, phê duyệt kế hoạch thực hiện chương trình, dự án sử dụng vốn ODA, vốn vay ưu đãi, vốn đối ứng hàng năm (cấp tỉnh)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"KHĐT","Đầu tư bằng vốn hỗ trợ phát triển chính thức (ODA) và viện trợ không hoàn lại không thuộc hỗ trợ phát triển chính thức","2.002053.000.00.00.H34","Lập, phê duyệt kế hoạch tổng thể thực hiện chương trình, dự án sử dụng vốn ODA, vốn vay ưu đãi, vốn đối ứng (cấp tỉnh)","Không","Quyết định số 333/QĐ-UBND ngày 28/6/2021","Quyết định số 469/QĐ-UBND ngày 25/8/2021","Trung tâm phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
