"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"SCT","Lưu thông hàng hóa trong nước","2.001646.000.00.00.H34","Cấp Giấy phép sản xuất rượu công nghiệp (quy mô dưới 3 triệu lít/năm)","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 846/QĐ-TTg ngày 09/06/2017","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.001630.000.00.00.H34","Cấp lại Giấy phép sản xuất rượu công nghiệp (quy mô dưới 3 triệu lít/năm)","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 846/QĐ-TTg ngày 09/06/2017","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000636.000.00.00.H34","Cấp lại Giấy phép bán buôn rượu trên địa bàn tỉnh, thành phố trực thuộc trung ương","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000167.000.00.00.H34","Cấp lại giấy phép bán buôn sản phẩm thuốc lá","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000626.000.00.00.H34","Cấp Giấy phép mua bán nguyên liệu thuốc lá","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 846/QĐ-TTg ngày 09/06/2017","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000622.000.00.00.H34","Cấp lại Giấy phép mua bán nguyên liệu thuốc lá","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 846/QĐ-TTg ngày 09/06/2017","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000673.000.00.00.H34","Cấp Giấy xác nhận đủ điều kiện làm đại lý bán lẻ xăng dầu","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000672.000.00.00.H34","Cấp lại Giấy xác nhận đủ điều kiện làm đại lý bán lẻ xăng dầu","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000674.000.00.00.H34","Cấp Giấy xác nhận đủ điều kiện làm tổng đại lý kinh doanh xăng dầu thuộc thẩm quyền cấp của Sở Công Thương","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
"SCT","Lưu thông hàng hóa trong nước","2.000664.000.00.00.H34","Cấp lại Giấy xác nhận đủ điều kiện làm tổng đại lý kinh doanh xăng dầu thuộc thẩm quyền cấp của Sở Công Thương","Có","Quyết định số 237/QĐ-UBND ngày 14/5/2021","Quyết định số 314/QĐ-UBND ngày 21/6/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Công Thương","Quyết định số 805/QĐ-UBND ngày 23/11/2020","Mức độ 3",""
