"Đơn vị","Lĩnh vực","Mã số TTHC","Tên TTHC","Phí, lệ phí","Số hiệu Quyết định Phê duyệt Danh mục TTHC","Số hiệu Quyết định Quy trình nội bộ","Nơi tiếp nhận hồ sơ và trả kết quả","Cấp thực hiện","Thẩm quyền giải quyết","Số hiệu Quyết định công bố danh mục DVCTT","Mức độ DVCTT hiện tại","Ghi chú"
"STC","Quản lý công sản","1.005414.000.00.00.H34","Xác định tiền sử dụng đất phải nộp khi người được mua, thuê mua nhà ở xã hội thực hiện bán, chuyển nhượng","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Cơ quan Thuế","Cấp Tỉnh","Cơ quan Thuế","","Mức độ 2",""
"STC","Tài chính doanh nghiệp","1.007621.000.00.00.H34","Thủ tục quyết toán kinh phí sản phẩm công ích giống nông nghiệp, thủy sản","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"STC","Quản lý công sản","1.005419.000.00.00.H34","Quyết định sử dụng tài sản công để tham gia dự án đầu tư theo hình thức đối tác công - tư","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","","Mức độ 2",""
"STC","Tài chính doanh nghiệp","1.007614.000.00.00.H34","Thủ tục lập phương án giá tiêu thụ, mức trợ giá","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Tài chính","","Mức độ 2",""
"STC","Tài chính doanh nghiệp","1.007616.000.00.00.H34","Thủ tục lập, phân bổ dự toán kinh phí sản phẩm công ích giống nông nghiệp, thủy sản","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","Sở Tài chính","","Mức độ 2",""
"STC","Quản lý công sản","2.002173.000.00.00.H34","Hoàn trả hoặc khấu trừ tiền sử dụng đất đã nộp hoặc tiền nhận chuyển nhượng quyền sử dụng đất đã trả vào nghĩa vụ tài chính của chủ đầu tư dự án nhà ở xã hội","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công","Cấp Tỉnh","UBND tỉnh","Quyết định số 461/QĐ-UBND ngày 07/07/2020","Mức độ 3",""
"STC","Tin học - Thống kê","2.002206.000.00.00.H34","Thủ tục đăng ký mã số đơn vị có quan hệ với ngân sách","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công","Cấp Tỉnh","UBND tỉnh","Quyết định số 877/QĐ-TTg ngày 18/7/2018","Mức độ 4",""
"STC","Quản lý công sản","1.005424.000.00.00.H34","Quyết định bán tài sản công cho người duy nhất theo quy định tại khoản 2 Điều 25 Nghị định số 151/2017/NĐ-CP ngày 26/12/2017 của Chính phủ","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh - Bộ phận Tiếp nhận và trả kết quả cấp Huyện","Cấp Tỉnh - Cấp Huyện","UBND tỉnh - UBND cấp Huyện","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 4",""
"STC","Quản lý công sản","1.005425.000.00.00.H34","Quyết định hủy bỏ quyết định bán đấu giá tài sản công","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh","Cấp Tỉnh","UBND tỉnh","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 4",""
"STC","Quản lý công sản","1.005427.000.00.00.H34","Quyết định tiêu huỷ tài sản công","Không","Quyết định số 407/QĐ-UBND ngày 28/7/2021","Quyết định số 549/QĐ-UBND ngày 14/10/2021","Trung tâm Phục vụ hành chính công tỉnh - Bộ phận Tiếp nhận và trả kết quả cấp Huyện","Cấp Tỉnh - Cấp Huyện","UBND tỉnh - UBND cấp Huyện","Quyết định số 200/QĐ-UBND ngày 16/4/2021","Mức độ 4",""
