"Mã TTHC","Tên TTHC","Mã cơ quan công bố","Cơ quan công bố","Lĩnh vực","Cấp thực hiện"
"1.000013","Thay đổi giấy phép hoạt động cai nghiện ma túy tự nguyện","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Phòng, chống tệ nạn xã hội","Cấp Tỉnh"
"1.000016","Thông báo tăng, giảm vốn góp của quỹ đầu tư khởi nghiệp sáng tạo (cấp tỉnh)","000.00.00.G05","Bộ Kế hoạch và Đầu tư","Hỗ trợ doanh nghiệp nhỏ và vừa","Cấp Tỉnh"
"1.000028","Cấp Giấy phép lưu hành xe quá tải trọng, xe quá khổ giới hạn, xe bánh xích, xe vận chuyển hàng siêu trường, siêu trọng trên đường bộ","000.00.00.G04","Bộ Giao thông vận tải","Đường bộ","Cấp Tỉnh"
"1.000031","Đổi tên trung tâm giáo dục nghề nghiệp, trường trung cấp công lập trực thuộc tỉnh, thành phố trực thuộc trung ương và trung tâm giáo dục nghề nghiệp, trường trung cấp tư thục trên địa bàn tỉnh, thành phố trực thuộc trung ương","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Giáo dục nghề nghiệp","Cấp Tỉnh"
"1.000037","Xác nhận bảng kê lâm sản (cấp huyện)","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Huyện"
"1.000045","Xác nhận bảng kê lâm sản (cấp Tỉnh)","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000047","Phê duyệt phương án khai thác động vật rừng thông thường từ tự nhiên","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000049","Cấp, gia hạn, cấp lại, cấp đổi chứng chỉ hành nghề đo đạc và bản đồ hạng II","000.00.00.G13","Bộ Tài nguyên và Môi trường","Đo đạc, bản đồ và thông tin địa lý","Cấp Tỉnh"
"1.000052","Công nhận nguồn giống cây trồng lâm nghiệp","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000055","Phê duyệt phương án quản lý rừng bền vững của chủ rừng là tổ chức","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000058","Miễn, giảm tiền dịch vụ môi trường rừng (đối với bên sử dụng dịch vụ môi trường rừng trong phạm vi địa giới hành chính của một tỉnh)","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000065","Chuyển loại rừng đối với khu rừng do Ủy ban nhân dân cấp tỉnh quyết định thành lập","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000067","Thông báo thay đổi cơ cấu tổ chức của doanh nghiệp cung cấp dịch vụ trò chơi điện tử G2, G3, G4 trên mạng do chia, tách, hợp nhất, sáp nhập, chuyển đổi công ty theo quy định của pháp luật về doanh nghiệp; thay đổi phần vốn góp dẫn đến thay đổi thành viên góp vốn (hoặc cổ đông) có phần vốn góp từ 30% vốn điều lệ trở lên của doanh nghiệp cung cấp dịch vụ trò chơi điện tử G2, G3, G4 trên mạng","000.00.00.G14","Bộ Thông tin và Truyền thông","Phát thanh, truyền hình và thông tin điện tử","Cấp Tỉnh"
"1.000071","Phê duyệt chương trình, dự án và hoạt động phi dự án được hỗ trợ tài chính của Quỹ bảo vệ và phát triển rừng cấp tỉnh","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000073","Thông báo thay đổi phương thức, phạm vi cung cấp dịch vụ trò chơi điện tử G1 trên mạng đã được phê duyệt","000.00.00.G14","Bộ Thông tin và Truyền thông","Phát thanh, truyền hình và thông tin điện tử","Cấp Tỉnh"
"1.000075","Miễn nhiệm công chứng viên (trường hợp được miễn nhiệm)","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.000081","Phê duyệt Đề án du lịch sinh thái, nghỉ dưỡng, giải trí trong rừng phòng hộ đối với khu rừng phòng hộ thuộc địa phương quản lý","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000082","Cấp, gia hạn, cấp lại, cấp đổi giấy phép hoạt động đo đạc và bản đồ cấp Trung ương","000.00.00.G13","Bộ Tài nguyên và Môi trường","Đo đạc, bản đồ và thông tin địa lý","Cấp Tỉnh"
"1.000084","Phê duyệt Đề án du lịch sinh thái, nghỉ dưỡng, giải trí trong rừng đặc dụng đối với khu rừng đặc dụng thuộc địa phương quản lý","000.00.00.G10","Bộ Nông nghiệp và Phát triển nông thôn","Lâm nghiệp","Cấp Tỉnh"
"1.000091","Đề nghị chấm dứt hoạt động của cơ sở hỗ trợ nạn nhân","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Phòng, chống tệ nạn xã hội","Cấp Tỉnh"
"1.000100","Bổ nhiệm lại công chứng viên","000.00.00.G15","Bộ Tư pháp","Công chứng","Cấp Tỉnh"
"1.000101","Khám giám định phúc quyết mức độ khuyết tật đối với trường hợp đại diện người khuyết tật (cá nhân, cơ quan, tổ chức) không đồng ý với kết luận của Hội đồng Giám định y khoa đã ban hành Biên bản khám giám định","000.00.00.G18","Bộ Y tế","Giám định y khoa","Cấp Tỉnh"
"1.000104","Thủ tục cấp lại Thẻ nhân viên chăm sóc nạn nhân bạo lực gia đình","000.00.00.G16","Bộ Văn hóa, Thể thao và Du lịch","Gia đình","Cấp Tỉnh"
"1.000105","Báo cáo giải trình nhu cầu, thay đổi nhu cầu sử dụng người lao động nước ngoài","000.00.00.G07","Bộ Lao động - Thương binh và Xã hội","Việc làm","Cấp Tỉnh"
